Filename;Drawer;Base filename;First word;Last word;First word index;Last word index;Sequence;Error message
KRIJP_20560_03030507_do6.djvu;Do6;do6;do;do;6;6;108;
KRIJP_20561_03030508_do7.djvu;Do7;do7;do;do;7;7;109;
KRIJP_20562_03030509_do8.djvu;Do8;do8;do;do;8;8;110;
KRIJP_20563_03030510_do9-dobro.djvu;Do9 - Dobro;do9-dobro;do;dobro;9;1;111;
KRIJP_20564_03030511_dobrobiorca-dobry1.djvu;Dobrobiorca - Dobry1;dobrobiorca-dobry1;dobrobiorca;dobry;1;1;112;
KRIJP_20565_03030512_dobry2-dobrze1.djvu;Dobry2 - Dobrze1;dobry2-dobrze1;dobry;dobrze;2;1;113;
KRIJP_20566_03030513_dobrze2-docucic-sie.djvu;Dobrze2 - Docucić_się;dobrze2-docucic-sie;dobrze;docucić się;2;1;114;
KRIJP_20567_03030514_doczekac-dokaz.djvu;Doczekać - Dokaz;doczekac-dokaz;doczekać;dokaz;1;1;115;
KRIJP_20647_03030515_dokazac-dolyszek.djvu;Dokazać - Dołyszek;dokazac-dolyszek;dokazać;dołyszek;1;1;116;
KRIJP_20648_03030517_dom-doma.djvu;Dom - Doma;dom-doma;dom;doma;1;1;117;
KRIJP_20651_03030516_domacac-dopiekanie.djvu;Domacać - Dopiekanie;domacac-dopiekanie;domacać;dopiekanie;1;1;118;
KRIJP_20652_03030518_dopier-doskonalosc.djvu;Dopier - Doskonałość;dopier-doskonalosc;dopier;doskonałość;1;1;119;
KRIJP_20653_03030519_doskonaly-dostoic.djvu;Doskonały - Dostoić;doskonaly-dostoic;doskonały;dostoić;1;1;120;
KRIJP_20654_03030520_dostojenstwo-dotknac.djvu;Dostojeństwo - Dotknąć_się;dostojenstwo-dotknac;dostojeństwo;dotknąć się;1;1;121;
KRIJP_20655_03030521_dotknienie-doznawani.djvu;Dotknienie - Doznawanie;dotknienie-doznawani;dotknienie;doznawanie;1;1;122;
KRIJP_20656_03030522_dozolariusz-dol.djvu;Dozolariusz - Dół;dozolariusz-dol;dozolariusz;dół;1;1;123;
